RESERVOIR,Date,Full Capacity (mcft),Full Tank Level (ft.),Level (ft),Outflow (cusecs),Rainfall (mm),Storage (mcft),Storage Level (%),Storage as on same day last year (mcft)
POONDI,12-06-2024,3231.00,140.00,123.15,131.00,11.0,117.00,3.62,1286.00
POONDI,12-07-2023,3231.00,140.00,135.96,43.00,0.0,1970.00,60.97,1721.00
POONDI,13-07-2024,3231.00,140.00,122.30,27.00,52.0,79.00,2.45,2008.00
POONDI,13-09-2024,3231.00,140.00,122.35,77.00,0.0,81.00,2.51,2354.00
POONDI,14-02-2024,3231.00,140.00,138.67,192.00,0.0,2721.00,84.22,2589.00
POONDI,14-12-2023,3231.00,140.00,139.93,269.00,0.0,3128.00,96.81,2854.00
POONDI,15-09-2023,3231.00,140.00,137.54,380.00,3.0,2390.00,73.97,545.00
POONDI,15-10-2023,3231.00,140.00,137.77,545.00,18.0,2455.00,75.98,722.00
POONDI,15-11-2024,3231.00,140.00,127.08,377.00,25.0,465.00,14.39,1862.00
POONDI,16-01-2025,3231.00,140.00,140.00,277.00,0.0,3231.00,100.00,3085.00
POONDI,16-11-2023,3231.00,140.00,133.54,68.00,13.0,1867.00,57.78,1544.00
POONDI,17-12-2023,3231.00,140.00,140.00,269.00,0.0,3231.00,100.00,2854.00
POONDI,18-01-2024,3231.00,140.00,139.80,38.00,0.0,3085.00,95.48,3038.00
POONDI,18-02-2024,3231.00,140.00,138.44,188.00,0.0,2652.00,82.08,2565.00
POONDI,18-05-2025,3231.00,140.00,133.47,407.00,0.0,1410.00,43.64,598.00
POONDI,18-06-2024,3231.00,140.00,122.58,86.00,8.0,89.00,2.75,1253.00
POONDI,20-03-2025,3231.00,140.00,138.71,57.00,0.0,2733.00,84.59,1945.00
POONDI,20-04-2024,3231.00,140.00,132.34,288.00,0.0,1200.00,37.14,1331.00
POONDI,22-05-2025,3231.00,140.00,133.25,57.00,0.0,1367.00,42.31,515.00
POONDI,23-11-2023,3231.00,140.00,135.57,68.00,17.0,1874.00,58.00,1988.00
POONDI,24-07-2024,3231.00,140.00,123.76,27.00,0.0,153.00,4.74,2093.00
POONDI,24-09-2024,3231.00,140.00,121.85,27.00,11.0,65.00,2.01,2700.00
POONDI,25-08-2023,3231.00,140.00,135.52,70.00,0.0,1862.00,57.63,716.00
POONDI,25-10-2024,3231.00,140.00,127.14,377.00,0.0,472.00,14.61,2129.00
POONDI,26-10-2023,3231.00,140.00,136.29,545.00,0.0,2054.00,63.57,785.00
POONDI,26-11-2023,3231.00,140.00,135.60,38.00,0.0,1881.00,58.22,2059.00
POONDI,27-02-2025,3231.00,140.00,139.08,47.00,0.0,2848.00,88.15,2492.00
POONDI,27-12-2024,3231.00,140.00,139.92,827.00,30.0,3121.00,96.60,3061.00
POONDI,28-01-2024,3231.00,140.00,139.54,192.00,0.0,2995.00,92.70,2804.00
POONDI,29-02-2024,3231.00,140.00,137.78,188.00,0.0,2458.00,76.08,2512.00
POONDI,29-06-2025,3231.00,140.00,136.74,47.00,0.0,2171.00,67.19,67.00
POONDI,31-08-2023,3231.00,140.00,136.55,70.00,12.0,2121.00,65.65,617.00
PUZHAL,01-03-2024,3300.00,50.20,45.32,189.00,0.0,2279.00,69.06,2894.00
PUZHAL,01-07-2024,3300.00,50.20,47.81,249.00,1.0,2772.00,84.00,2272.00
PUZHAL,02-06-2025,3300.00,50.20,48.42,209.00,0.0,2896.00,87.76,2938.00
PUZHAL,02-08-2024,3300.00,50.20,46.68,224.00,0.0,2540.00,76.97,2085.00
PUZHAL,03-10-2024,3300.00,50.20,44.48,221.00,4.4,2131.00,64.58,2353.00
PUZHAL,05-01-2025,3300.00,50.20,48.99,209.00,0.0,3010.00,91.21,2930.00
PUZHAL,05-08-2024,3300.00,50.20,46.54,224.00,18.0,2513.00,76.15,2054.00
PUZHAL,06-02-2025,3300.00,50.20,49.91,209.00,0.0,3222.00,97.64,2605.00
PUZHAL,06-12-2024,3300.00,50.20,47.88,209.00,0.0,2786.00,84.42,2976.00
PUZHAL,07-03-2024,3300.00,50.20,45.14,189.00,0.0,2246.00,68.06,2778.00
PUZHAL,07-09-2024,3300.00,50.20,45.83,221.00,34.0,2375.00,71.97,1836.00
PUZHAL,08-10-2023,3300.00,50.20,46.01,189.00,0.0,2409.00,73.00,2652.00
PUZHAL,09-03-2024,3300.00,50.20,45.65,189.00,0.0,2341.00,70.94,2738.00
PUZHAL,09-04-2023,3300.00,50.20,45.91,202.00,0.0,2390.00,72.42,2910.00
PUZHAL,10-06-2023,3300.00,50.20,44.73,202.00,0.0,2173.00,65.85,3072.00
PUZHAL,10-12-2023,3300.00,50.20,49.21,239.00,0.0,3054.00,92.55,2508.00
PUZHAL,11-02-2023,3300.00,50.20,49.60,187.00,0.0,3139.00,95.12,3131.00
PUZHAL,11-05-2023,3300.00,50.20,46.28,202.00,0.0,2461.00,74.58,2952.00
PUZHAL,12-06-2024,3300.00,50.20,48.66,245.00,24.0,2944.00,89.21,2173.00
PUZHAL,12-07-2023,3300.00,50.20,45.28,202.00,0.0,2272.00,68.85,2920.00
PUZHAL,13-07-2024,3300.00,50.20,47.67,187.00,49.0,2745.00,83.18,2264.00
PUZHAL,13-09-2024,3300.00,50.20,45.35,221.00,0.0,2285.00,69.24,1919.00
PUZHAL,14-02-2024,3300.00,50.20,46.44,189.00,0.0,2493.00,75.55,3108.00
PUZHAL,14-12-2023,3300.00,50.20,49.21,189.00,0.0,3054.00,92.55,2711.00
PUZHAL,15-09-2023,3300.00,50.20,43.40,189.00,2.4,1943.00,58.88,2932.00
PUZHAL,15-10-2023,3300.00,50.20,46.33,189.00,3.0,2471.00,74.88,2650.00
PUZHAL,15-11-2024,3300.00,50.20,45.98,219.00,27.6,2403.00,72.82,2745.00
PUZHAL,16-01-2025,3300.00,50.20,49.74,209.00,0.0,3176.00,96.24,2874.00
PUZHAL,16-11-2023,3300.00,50.20,47.70,189.00,17.4,2751.00,83.36,2794.00
PUZHAL,17-12-2023,3300.00,50.20,49.27,189.00,0.0,3066.00,92.91,2767.00
PUZHAL,18-01-2024,3300.00,50.20,48.18,189.00,0.0,2849.00,86.33,3074.00
PUZHAL,18-02-2024,3300.00,50.20,46.16,189.00,0.0,2438.00,73.88,3060.00
PUZHAL,18-05-2025,3300.00,50.20,48.95,209.00,0.0,3002.00,90.97,2862.00
PUZHAL,18-06-2024,3300.00,50.20,48.55,249.00,9.0,2922.00,88.55,2173.00
PUZHAL,20-03-2025,3300.00,50.20,47.30,209.00,0.0,2667.00,80.82,2827.00
PUZHAL,20-04-2024,3300.00,50.20,47.98,216.00,0.0,2808.00,85.09,2411.00
PUZHAL,22-05-2025,3300.00,50.20,49.24,209.00,0.0,3060.00,92.73,2880.00
PUZHAL,23-11-2023,3300.00,50.20,47.72,189.00,29.8,2755.00,83.48,2500.00
PUZHAL,24-07-2024,3300.00,50.20,47.03,224.00,0.0,2611.00,79.12,2148.00
PUZHAL,24-09-2024,3300.00,50.20,44.67,221.00,61.0,2162.00,65.52,2160.00
PUZHAL,25-08-2023,3300.00,50.20,43.27,189.00,0.0,1921.00,58.21,2974.00
PUZHAL,25-10-2024,3300.00,50.20,46.53,200.00,0.0,2511.00,76.09,2538.00
PUZHAL,26-10-2023,3300.00,50.20,46.75,189.00,0.0,2554.00,77.39,2516.00
PUZHAL,26-11-2023,3300.00,50.20,47.85,189.00,0.0,2780.00,84.24,2501.00
PUZHAL,27-02-2025,3300.00,50.20,48.87,209.00,0.0,2986.00,90.48,2318.00
PUZHAL,27-12-2024,3300.00,50.20,49.09,209.00,20.0,3030.00,91.82,2992.00
PUZHAL,28-01-2024,3300.00,50.20,47.59,189.00,0.0,2728.00,82.67,3152.00
PUZHAL,29-02-2024,3300.00,50.20,45.39,189.00,0.0,2292.00,69.45,2928.00
PUZHAL,29-06-2025,3300.00,50.20,46.41,209.00,1.0,2487.00,75.36,2807.00
PUZHAL,31-08-2023,3300.00,50.20,43.17,189.00,25.0,1904.00,57.70,2998.00
TOTAL,01-03-2024,"13,222.00",-,-,544.00,0.0,"8,999.00",68.06,"10,888.92"
TOTAL,01-07-2024,"13,222.00",-,-,524.00,5.0,"6,042.32",45.70,"7,443.00"
TOTAL,02-06-2025,"13,222.00",-,-,512.00,21.0,"8,355.55",63.19,"5,758.00"
TOTAL,02-08-2024,"13,222.00",-,-,583.00,6.0,"5,217.70",39.46,"7,937.45"
TOTAL,03-10-2024,"13,222.00",-,-,"1,122.00",7.4,"4,352.00",32.91,"9,563.40"
TOTAL,05-01-2025,"13,222.00",-,-,"1,951.00",0.0,"11,742.62",88.81,"10,878.00"
TOTAL,05-08-2024,"13,222.00",-,-,"1,962.00",136.0,"5,377.20",40.67,"7,892.70"
